INCIDENT NO,RPT DATE,RPT TIME,INCIDENT TYPE DESCRIPTION
202689714,10/1/2020,1404,243.4 PC BATTERY SEXUAL
202689715,10/1/2020,1458,288(A) PC L&L W/ UNDER 14YRS
202689716,10/1/2020,1751,273AB PC CHLD ABUSE NOT AGG
202740858,10/1/2020,1833,11364 HS DRUG PARAPHERNALIA
202750001,10/1/2020,0001,23152A VC DUI ALCOHOL/DRUGS
202750009,10/1/2020,0014,STOP INFO ONLY
202750010,10/1/2020,0015,12020(A)PC POSN DANGEROUS WEAP
202750015,10/1/2020,0022,5150 WI 72 HR MENTAL HOLD
202750029,10/1/2020,0028,148(A)(1) PC RESIST ARREST
202750039,10/1/2020,0042,11364 HS DRUG PARAPHERNALIA
202750040,10/1/2020,0043,INFORMATION ONLY
202750042,10/1/2020,0304,10851R OUTSIDE AGENCY RECOVERY
202750047,10/1/2020,0052,OTHER MISDEMEANOR
202750053,10/1/2020,0101,29800 PC ADDICT/FEL POSN WEAP
202750083,10/1/2020,0153,273.6APC DV RESTRAIN ORD VIOL
202750084,10/1/2020,0154,530.5 PC IDENTITY THEFT
202750089,10/1/2020,0202,11377(A) HS POSN CNTRLD SUBS
202750095,10/1/2020,0226,12020(A)PC POSN DANGEROUS WEAP
202750097,10/1/2020,0229,290(B) PC SEX FAIL TO REG/FEL
202750100,10/1/2020,0831,485 PC APPROPRIATE LOST PROP
202750103,10/1/2020,0241,245A1 PC ASSAULT W/O FIREARM
202750118,10/1/2020,0328,5150 WI 72 HR MENTAL HOLD
202750125,10/1/2020,0346,245A1 PC ASSAULT W/O FIREARM
202750130,10/1/2020,0730,30305 PC FELON POSN AMMO/FEL
202750136,10/1/2020,0425,417(A)(1) PC BRANDISH WEAPON
202750137,10/1/2020,0426,4060 BP POSN W/O PRESCRIPTION
202750153,10/1/2020,0651,594 PC VANDALISM-$400 OR MORE
202750158,10/1/2020,0548,1181 VEH ACCIDENT-MINOR INJURY
202750159,10/1/2020,0550,459 PC BURGLARY VEHICLE>$950
202750170,10/1/2020,0640,23152B VC DUI ALCOHOL .08%
202750171,10/1/2020,0635,459 PC BURG SCHOOL-FORCE
202750173,10/1/2020,0624,WARRANT & FUGITIVE
202750174,10/1/2020,0641,1181 VEH ACCIDENT-MINOR INJURY
202750190,10/1/2020,0745,484PC PETTY THEFT OTHER
202750195,10/1/2020,0755,10851(A) VC VEHICLE THEFT
202750198,10/1/2020,0823,10851R OUTSIDE AGENCY RECOVERY
202750200,10/1/2020,0802,273.5(A) PC DV MINOR INJURY
202750202,10/1/2020,0807,10851(A) VC VEHICLE THEFT
202750203,10/1/2020,0930,10851(A) VC VEHICLE THEFT
202750210,10/1/2020,0904,459 PC BURG SCHOOL-FORCE
202750211,10/1/2020,0818,211 PC ROBBERY ARMED
202750214,10/1/2020,0818,10851(A) VC VEHICLE THEFT
202750218,10/1/2020,0825,273AB PC CHLD ABUSE NOT AGG
202750225,10/1/2020,0836,20002VC HIT AND RUN-PROP DMG
202750228,10/1/2020,0838,459 PC BURGLARY VEHICLE>$950
202750229,10/1/2020,0844,459 PC BURGLARY VEHICLE<$950
202750231,10/1/2020,1223,148(A)(1) PC RESIST ARREST
202750258,10/1/2020,0919,10851(A) VC VEHICLE THEFT
202750287,10/1/2020,0954,594 PC VANDALISM-$400 OR MORE
202750289,10/1/2020,1248,459 PC BURG RESD-FORCE
202750294,10/1/2020,1005,STOLEN PLATE
202750300,10/1/2020,1248,5150 WI 72 HR MENTAL HOLD
202750311,10/1/2020,1022,273.5(A) PC DV MINOR INJURY
202750327,10/1/2020,1037,PROPERTY FOUND-GENERAL
202750328,10/1/2020,1037,459 PC BURGLARY VEHICLE>$950
202750332,10/1/2020,1100,INFORMATION ONLY
202750344,10/1/2020,1052,487 PC GRAND THEFT OTHER
202750346,10/1/2020,1057,10851(A) VC VEHICLE THEFT
202750348,10/1/2020,1104,2800.2(A) VC EVADING RECKLESS
202750353,10/1/2020,1103,INFORMATION ONLY
202750363,10/1/2020,1205,11550(A)HS UNDR INFL CNTRL SUB
202750377,10/1/2020,1135,10851R OUTSIDE AGENCY RECOVERY
202750383,10/1/2020,1140,11364 HS DRUG PARAPHERNALIA
202750394,10/1/2020,1151,484PC PETTY THEFT SHOPLIFT<950
202750404,10/1/2020,1332,10851(A) VC VEHICLE THEFT
202750410,10/1/2020,1215,459 PC BURG RESD-FORCE
202750415,10/1/2020,1219,273.6APC DV RESTRAIN ORD VIOL
202750417,10/1/2020,1225,1181 VEH ACCIDENT-MINOR INJURY
202750420,10/1/2020,1321,10851(A) VC VEHICLE THEFT
202750423,10/1/2020,1240,10851(A) VC VEHICLE THEFT
202750425,10/1/2020,1236,215(A) PC ROBBERY CARJACKING
202750426,10/1/2020,1245,11377(A) HS POSN CNTRLD SUBS
202750429,10/1/2020,1241,10851(A) VC VEHICLE THEFT
202750430,10/1/2020,1240,10851(A) VC VEHICLE THEFT
202750437,10/1/2020,2120,459 PC BURGLARY VEHICLE<$950
202750439,10/1/2020,1249,273.5(A) PC DV MINOR INJURY
202750465,10/1/2020,1459,215(A) PC ROBBERY CARJACKING
202750471,10/1/2020,1330,484PC PETTY THEFT OTHER
202750472,10/1/2020,1330,273.6APC DV RESTRAIN ORD VIOL
202750475,10/1/2020,1334,459 PC BURG RESD-FORCE
202750490,10/1/2020,2107,10851(A) VC VEHICLE THEFT
202750496,10/1/2020,1356,5150 WI 72 HR MENTAL HOLD
202750513,10/1/2020,1418,459 PC BURG RESD-NO FORCE
202750516,10/1/2020,1422,243.4 PC BATTERY SEXUAL
202750528,10/1/2020,1540,422 PC CRIMINAL THREATS
202750529,10/1/2020,1630,20002VC HIT AND RUN-PROP DMG
202750546,10/1/2020,1458,484PC PETTY THEFT SHOPLIFT<950
202750549,10/1/2020,1515,1065A MISSING ADULT
202750552,10/1/2020,1507,459 PC BURGLARY VEHICLE>$950
202750563,10/1/2020,0300,290(B) PC SEX FAIL TO REG/FEL
202750570,10/1/2020,1600,SUSPICIOUS CIRCUMSTANCES
202750581,10/1/2020,1538,459 PC BURG RESD-NO FORCE
202750589,10/1/2020,1608,10851R OUTSIDE AGENCY RECOVERY
202750596,10/1/2020,1552,1065A MISSING ADULT
202750603,10/1/2020,1605,594 PC VANDALISM-<$400
202750613,10/1/2020,1614,5150 WI 72 HR MENTAL HOLD
202750614,10/1/2020,1615,1181 VEH ACCIDENT-MINOR INJURY
202750620,10/1/2020,1628,211 PC ROBBERY STRONG-ARM
202750627,10/1/2020,1632,11364 HS DRUG PARAPHERNALIA
202750631,10/1/2020,1637,245A1 PC ASSAULT W/O FIREARM
202750633,10/1/2020,1640,1181 VEH ACCIDENT-MINOR INJURY
202750636,10/1/2020,2035,10851(A) VC VEHICLE THEFT
202750638,10/1/2020,2319,DOMESTIC-422 PC CRIM THREATS
202750642,10/1/2020,1653,10851(A) VC VEHICLE THEFT
202750643,10/1/2020,1653,417(A)(2) PC BRANDISH FIREARM
202750649,10/1/2020,1655,STOP INFO ONLY
202750658,10/1/2020,1705,SUSPICIOUS CIRCUMSTANCES
202750695,10/1/2020,1731,243(E)(1) PC BATTERY DOMESTIC
202750704,10/1/2020,2218,1182 VEH ACCIDENT-PROPERTY DMG
202750723,10/1/2020,1755,10851(A) VC VEHICLE THEFT
202750737,10/1/2020,1807,STOLEN PLATE
202750741,10/1/2020,1820,602 PC TRESPASSING
202750754,10/1/2020,2054,487 PC GRAND THEFT OTHER
202750756,10/1/2020,1840,273.5(A) PC DV SBI OR WEAPON
202750769,10/1/2020,1837,10851(A) VC VEHICLE THEFT
202750773,10/1/2020,1835,20002VC HIT AND RUN-PROP DMG
202750774,10/1/2020,2053,273AB PC CHLD ABUSE NOT AGG
202750775,10/1/2020,1836,211 PC ROBBERY STRONG-ARM
202750779,10/1/2020,1838,11377(A) HS POSN CNTRLD SUBS
202750791,10/1/2020,1800,459 PC BURG RESD-NO FORCE
202750795,10/1/2020,1914,594 PC VANDALISM-$400 OR MORE
202750798,10/1/2020,1859,594 PC VANDALISM-$400 OR MORE
202750808,10/1/2020,1910,STOLEN PLATE
202750819,10/1/2020,1922,148(A)(1) PC RESIST ARREST
202750825,10/1/2020,2146,COURTESY REPORT
202750833,10/1/2020,1931,242 PC BATTERY
202750838,10/1/2020,1932,148(A)(1) PC RESIST ARREST
202750841,10/1/2020,1935,STOLEN PLATE
202750852,10/1/2020,2017,11377(A) HS POSN CNTRLD SUBS
202750864,10/1/2020,1956,20002VC HIT AND RUN-PROP DMG
202750871,10/1/2020,2005,11377(A) HS POSN CNTRLD SUBS
202750874,10/1/2020,2009,10851R OUTSIDE AGENCY RECOVERY
202750879,10/1/2020,2016,1065A MISSING ADULT
202750889,10/1/2020,2028,242 PC BATTERY
202750894,10/1/2020,2015,STOLEN PLATE
202750901,10/1/2020,2300,273.5(A) PC DV MINOR INJURY
202750910,10/1/2020,2236,11377(A) HS POSN CNTRLD SUBS
202750928,10/1/2020,2100,594 PC VANDALISM-<$400
202750937,10/1/2020,2127,10851R OUTSIDE AGENCY RECOVERY
202750943,10/1/2020,2350,459 PC BURG RESD-NO FORCE
202750947,10/1/2020,2138,STOLEN PLATE
202750948,10/1/2020,2138,487 PC GRAND THEFT OTHER
202750949,10/1/2020,2138,459 PC BURG RESD-NO FORCE
202750959,10/1/2020,2145,SUSPICIOUS CIRCUMSTANCES
202750968,10/1/2020,2145,245A1 PC ASSAULT W/O FIREARM
202750970,10/1/2020,2156,20001 VC HIT AND RUN-DEATH/INJ
202750994,10/1/2020,2220,20001 VC HIT AND RUN-DEATH/INJ
202750997,10/1/2020,2229,23152A VC DUI ALCOHOL/DRUGS
202751007,10/1/2020,2240,23152B VC DUI ALCOHOL .08%
202751022,10/1/2020,2306,243(E)(1) PC BATTERY DOMESTIC
202751032,10/1/2020,2313,10851(A) VC VEHICLE THEFT
202751035,10/1/2020,2315,459 PC BURG COMM-FORCE
202751038,10/1/2020,2316,INFORMATION ONLY
202751039,10/1/2020,2317,11364.1 HS POSN HYPODERMIC NDL
202751041,10/1/2020,2321,422 PC CRIMINAL THREATS
202751059,10/1/2020,2359,INFORMATION ONLY
202753200,10/1/2020,1623,484PC PETTY THEFT OTHER
202753201,10/1/2020,1631,459 PC BURGLARY VEHICLE<$950
202753202,10/1/2020,1428,530.5 PC IDENTITY THEFT
202753203,10/1/2020,1019,530.5 PC IDENTITY THEFT
202753204,10/1/2020,1350,10852 VC VEHICLE TAMPERING
202753205,10/1/2020,0959,PROPERTY LOST
202753206,10/1/2020,0859,PROPERTY LOST
202753207,10/1/2020,0904,PROPERTY LOST
202753208,10/1/2020,1011,484PC PETTY THEFT OTHER
202753209,10/1/2020,0741,PROPERTY LOST
202753210,10/1/2020,1629,459 PC BURGLARY VEHICLE>$950
202753211,10/1/2020,1242,484PC PETTY THEFT BIKE
202753212,10/1/2020,2150,484PC PETTY THEFT FROM BLDG
202753213,10/1/2020,1031,594 PC VANDALISM-<$400
202753214,10/1/2020,2234,PROPERTY LOST
202753215,10/1/2020,2258,484PC PETTY THEFT OTHER
202753216,10/1/2020,2245,459 PC BURGLARY VEHICLE>$950
202753217,10/1/2020,1314,PROPERTY LOST
202753218,10/1/2020,1203,484PC PETTY THEFT OTHER
202753219,10/1/2020,2031,484PC PETTY THEFT OTHER
202753220,10/1/2020,1432,459 PC BURGLARY VEHICLE>$950
202753221,10/1/2020,1522,484 PC CREDIT/DEBIT CARD USE
202753222,10/1/2020,0800,484 PC CREDIT/DEBIT CARD USE
202753223,10/1/2020,1748,487 PC GRAND THEFT BIKE
202753224,10/1/2020,1033,484PC PETTY THEFT FROM BLDG
202753225,10/1/2020,1754,PROPERTY LOST
202753226,10/1/2020,0913,459 PC BURGLARY VEHICLE>$950
202754000,10/1/2020,2015,20002VC HIT AND RUN-PROP DMG
202759500,10/1/2020,0059,422 PC CRIMINAL THREATS
202759501,10/1/2020,1006,1065J MISSING JUVENILE
202759502,10/1/2020,1324,476 PC FICTICIOUS/NSF CHECK
202759503,10/1/2020,1402,484 PC CREDIT/DEBIT CARD USE
202759504,10/1/2020,1425,487 PC FRAUD BY SCAM/SWINDLE
202759505,10/1/2020,1444,368DE PC ELD/DEPNDT FIN ABUSE
202759506,10/1/2020,1449,487 PC FRAUD BY SCAM/SWINDLE
202759507,10/1/2020,1517,487 PC GRAND THEFT FROM BLDG
202759508,10/1/2020,1541,484PC PETTY THEFT OTHER
202759509,10/1/2020,1607,459 PC BURGLARY VEHICLE<$950
202759510,10/1/2020,1634,487 PC FRAUD BY SCAM/SWINDLE
202759511,10/1/2020,1721,530.5 PC IDENTITY THEFT
202759512,10/1/2020,1751,1065J MISSING JUVENILE
202759513,10/1/2020,2018,1065A MISSING ADULT
202759514,10/1/2020,2048,1065J MISSING JUVENILE
202759515,10/1/2020,2132,1065J MISSING JUVENILE
202759516,10/1/2020,2137,1065J MISSING JUVENILE
202759736,10/1/2020,0830,10851(A) VC VEHICLE THEFT
202759737,10/1/2020,1325,20002VC HIT AND RUN-PROP DMG
202759738,10/1/2020,1440,PROPERTY LOST
202759739,10/1/2020,1844,PROPERTY FOUND-GENERAL
202759740,10/1/2020,1845,PROPERTY FOUND-GENERAL
202759741,10/1/2020,1845,PROPERTY FOUND-GENERAL
202759742,10/1/2020,1846,PROPERTY FOUND-GENERAL
202760041,10/1/2020,2300,245A1 PC ASSAULT W/O FIREARM
202620235,10/2/2020,1340,11377(A) HS POSN CNTRLD SUBS
202689717,10/2/2020,0952,273AB PC CHLD ABUSE NOT AGG
202689718,10/2/2020,1059,273AB PC CHLD ABUSE NOT AGG
202689719,10/2/2020,1126,270PC NEGLECT/FAIL TO PROVIDE
202689720,10/2/2020,1309,273AB PC CHLD ABUSE NOT AGG
202689721,10/2/2020,1719,273AB PC CHLD ABUSE NOT AGG
202689722,10/2/2020,1745,INFORMATION ONLY
202689723,10/2/2020,1836,288(A) PC L&L W/ UNDER 14YRS
202689724,10/2/2020,1909,288(A) PC L&L W/ UNDER 14YRS
202689725,10/2/2020,1931,288(A) PC L&L W/ UNDER 14YRS
202690646,10/2/2020,2008,11377(A) HS POSN CNTRLD SUBS
202740765,10/2/2020,1556,148(A)(1) PC RESIST ARREST
202741005,10/2/2020,0156,11364 HS DRUG PARAPHERNALIA
202750462,10/2/2020,0151,11377(A) HS POSN CNTRLD SUBS
202760004,10/2/2020,0006,594 PC VANDALISM-$400 OR MORE
202760026,10/2/2020,0028,245A1 PC ASSAULT W/O FIREARM
202760027,10/2/2020,0029,11377(A) HS POSN CNTRLD SUBS
202760031,10/2/2020,0117,12025 PC CARRY CONCEALED WEAP
202760034,10/2/2020,0045,23153A VC DUI ALCOHOL/DRUG GBI
202760042,10/2/2020,0100,5150 WI 72 HR MENTAL HOLD
202760046,10/2/2020,0451,25400PC CONCLD WEAP/VEH/FEL
202760047,10/2/2020,0117,PROPERTY FOUND-GENERAL
202760060,10/2/2020,0751,243.4 PC BATTERY SEXUAL
202760063,10/2/2020,0154,11377(A) HS POSN CNTRLD SUBS
202760070,10/2/2020,0224,484PC PETTY THEFT OTHER
202760078,10/2/2020,0802,OTHER FELONY
202760087,10/2/2020,0250,529 PC FALSE PERSONATION
202760095,10/2/2020,0750,25400PC CONCLD WEAP/VEH/FEL
202760099,10/2/2020,0545,594 PC VANDALISM-<$400
202760108,10/2/2020,0331,594 PC VANDALISM-<$400
202760118,10/2/2020,0407,459 PC BURG RESD-FORCE
202760122,10/2/2020,0700,30305 PC FELON POSN AMMO/FEL
202760127,10/2/2020,0524,10851(A) VC VEHICLE THEFT
202760132,10/2/2020,0503,SUSPICIOUS CIRCUMSTANCES
202760144,10/2/2020,0543,INFORMATION ONLY
202760146,10/2/2020,0556,STOLEN PLATE
202760155,10/2/2020,0736,10851(A) VC VEHICLE THEFT
202760156,10/2/2020,0736,459 PC BURG COMM-FORCE
202760157,10/2/2020,0644,10851(A) VC VEHICLE THEFT
202760164,10/2/2020,0657,1055 DEATH/DEAD BODY
202760166,10/2/2020,0703,459 PC BURG COMM-FORCE
202760167,10/2/2020,0906,487 PC GRAND THEFT OTHER
202760169,10/2/2020,0720,STOLEN PLATE
202760172,10/2/2020,0725,10851(A) VC VEHICLE THEFT
202760173,10/2/2020,0727,459 PC BURG COMM-FORCE
202760175,10/2/2020,0733,5150 WI 72 HR MENTAL HOLD
202760177,10/2/2020,0737,10851(A) VC VEHICLE THEFT
202760185,10/2/2020,0758,1181 VEH ACCIDENT-MINOR INJURY
202760191,10/2/2020,0815,1181 VEH ACCIDENT-MINOR INJURY
202760198,10/2/2020,0907,487 PC GRAND THEFT OTHER
202760199,10/2/2020,0819,487 PC GRAND THEFT OTHER
202760200,10/2/2020,0823,23152A VC DUI ALCOHOL/DRUGS
202760214,10/2/2020,1043,10851(A) VC VEHICLE THEFT
202760221,10/2/2020,0905,261 PC RAPE
202760224,10/2/2020,0845,368(B)1 PC ELDER/DEPNDT ABUSE
202760227,10/2/2020,0912,1181 VEH ACCIDENT-MINOR INJURY
202760236,10/2/2020,0930,273.5(A) PC DV MINOR INJURY
202760237,10/2/2020,1057,459 PC BURG COMM-FORCE
202760251,10/2/2020,0946,459 PC BURG RESD-FORCE
202760256,10/2/2020,0952,459 PC BURG COMM-FORCE
202760262,10/2/2020,1000,10852 VC VEHICLE TAMPERING
202760263,10/2/2020,1000,10851R OUTSIDE AGENCY RECOVERY
202760265,10/2/2020,1210,12021A1PC ADDICT/FEL POSN WEAP
202760270,10/2/2020,1025,STOP INFO ONLY
202760277,10/2/2020,1015,5150 WI 72 HR MENTAL HOLD
202760278,10/2/2020,1030,417(A)(1) PC BRANDISH WEAPON
202760281,10/2/2020,1019,5150 WI 72 HR MENTAL HOLD
202760288,10/2/2020,1030,602 PC TRESPASSING
202760295,10/2/2020,1036,10851(A) VC VEHICLE THEFT
202760308,10/2/2020,1053,VIN CHECK
202760311,10/2/2020,1100,484PC PETTY THEFT OTHER
202760313,10/2/2020,1102,211 PC ROBBERY STRONG-ARM
202760314,10/2/2020,1727,459 PC BURG RESD-NO FORCE
202760339,10/2/2020,1130,10851(A) VC VEHICLE THEFT
202760343,10/2/2020,1136,242 PC BATTERY
202760344,10/2/2020,1424,PROPERTY FOUND-GENERAL
202760345,10/2/2020,1139,20002VC HIT AND RUN-PROP DMG
202760350,10/2/2020,1145,10851(A) VC VEHICLE THEFT
202760352,10/2/2020,1147,10851(A) VC VEHICLE THEFT
202760356,10/2/2020,1150,PROPERTY FOUND-GENERAL
202760372,10/2/2020,1354,459 PC BURGLARY VEHICLE>$950
202760375,10/2/2020,1213,INFORMATION ONLY
202760378,10/2/2020,1217,243(E)(1) PC BATTERY DOMESTIC
202760383,10/2/2020,1221,SUSPICIOUS CIRCUMSTANCES
202760386,10/2/2020,1223,273AB PC CHLD ABUSE NOT AGG
202760394,10/2/2020,1241,5150 WI 72 HR MENTAL HOLD
202760400,10/2/2020,1249,10851(A) VC VEHICLE THEFT
202760408,10/2/2020,1255,422 PC CRIMINAL THREATS
202760414,10/2/2020,1259,STOP INFO ONLY
202760425,10/2/2020,1316,1181 VEH ACCIDENT-MINOR INJURY
202760430,10/2/2020,1335,148(A)(1) PC RESIST ARREST
202760435,10/2/2020,1516,10851(A) VC VEHICLE THEFT
202760439,10/2/2020,1334,459 PC BURGLARY VEHICLE<$950
202760440,10/2/2020,1335,1055 DEATH/DEAD BODY
202760449,10/2/2020,1351,10851(A) VC VEHICLE THEFT
202760453,10/2/2020,1359,273.6APC DV RESTRAIN ORD VIOL
202760455,10/2/2020,1405,20001 VC HIT AND RUN-DEATH/INJ
202760456,10/2/2020,1402,594 PC VANDALISM-$400 OR MORE
202760462,10/2/2020,1514,PROPERTY FOUND-GENERAL
202760467,10/2/2020,1421,273.6APC DV RESTRAIN ORD VIOL
202760468,10/2/2020,1422,459 PC BURG COMM-FORCE
202760470,10/2/2020,1425,INFORMATION ONLY
202760476,10/2/2020,1435,417(A)(2) PC BRANDISH FIREARM
202760485,10/2/2020,1453,10851(A) VC VEHICLE THEFT
202760492,10/2/2020,1453,PROPERTY FOUND-GENERAL
202760509,10/2/2020,1605,484PC PETTY THEFT OTHER
202760517,10/2/2020,1617,273.5(A) PC DV MINOR INJURY
202760535,10/2/2020,1557,1181 VEH ACCIDENT-MINOR INJURY
202760539,10/2/2020,1652,25400PC CONCLD WEAP/VEH/FEL
202760547,10/2/2020,1603,242 PC BATTERY
202760548,10/2/2020,1615,273.5(A) PC DV MINOR INJURY
202760560,10/2/2020,1621,647(F) PC DRUNK IN PUBLIC
202760573,10/2/2020,1637,422 PC CRIMINAL THREATS
202760576,10/2/2020,1639,485 PC APPROPRIATE LOST PROP
202760577,10/2/2020,1642,DOMESTIC-220 PC ASLTTOCMMT/ATT
202760587,10/2/2020,1651,STOLEN PLATE
202760594,10/2/2020,2006,647.6A1 PC ANNOY/MOLEST MINOR
202760629,10/2/2020,1728,11364 HS DRUG PARAPHERNALIA
202760650,10/2/2020,1823,5150 WI 72 HR MENTAL HOLD
202760660,10/2/2020,2130,DOMESTIC-653M ANNOY CALL/TEXT/
202760681,10/2/2020,1809,STOLEN PLATE
202760685,10/2/2020,1831,5150 WI 72 HR MENTAL HOLD
202760706,10/2/2020,1824,11364 HS DRUG PARAPHERNALIA
202760707,10/2/2020,1927,10851(A) VC VEHICLE THEFT
202760715,10/2/2020,1831,5150 WI 72 HR MENTAL HOLD
202760725,10/2/2020,1847,1181 VEH ACCIDENT-MINOR INJURY
202760727,10/2/2020,1848,1181 VEH ACCIDENT-MINOR INJURY
202760730,10/2/2020,1849,459 PC BURG RESD-NO FORCE
202760732,10/2/2020,1853,10851(A) VC VEHICLE THEFT
202760744,10/2/2020,1900,STOP INFO ONLY
202760752,10/2/2020,1906,1182 VEH ACCIDENT-PROPERTY DMG
202760772,10/2/2020,1927,273.6APC DV RESTRAIN ORD VIOL
202760778,10/2/2020,1938,422 PC CRIMINAL THREATS
202760779,10/2/2020,1939,11377(A) HS POSN CNTRLD SUBS
202760788,10/2/2020,1947,647(F) PC DRUNK IN PUBLIC
202760789,10/2/2020,1949,10851(A) VC VEHICLE THEFT
202760818,10/2/2020,2035,273.5(A) PC DV MINOR INJURY
202760820,10/2/2020,2037,273.6APC DV RESTRAIN ORD VIOL
202760832,10/2/2020,2051,602 PC TRESPASSING
202760871,10/2/2020,2132,5150 WI 72 HR MENTAL HOLD
202760872,10/2/2020,2030,20001 VC HIT AND RUN-DEATH/INJ
202760886,10/2/2020,2154,270PC NEGLECT/FAIL TO PROVIDE
202760889,10/2/2020,2202,484PC PETTY THEFT OTHER
202760899,10/2/2020,2217,10851(A) VC VEHICLE THEFT
202760906,10/2/2020,2224,11377(A) HS POSN CNTRLD SUBS
202760913,10/2/2020,2232,5150 WI 72 HR MENTAL HOLD
202760925,10/2/2020,2241,242 PC BATTERY
202760930,10/2/2020,0453,5150 WI 72 HR MENTAL HOLD
202760938,10/2/2020,2255,20002VC HIT AND RUN-PROP DMG
202760950,10/2/2020,2254,422 PC CRIMINAL THREATS
202760957,10/2/2020,2302,245A1 PC ASSAULT W/O FIREARM
202760974,10/2/2020,2313,WARRANT & FUGITIVE
202760976,10/2/2020,2330,11357(C)HS POSN MARIJUANA>1 OZ
202760979,10/2/2020,2317,273.6APC DV RESTRAIN ORD VIOL
202760997,10/2/2020,2331,10851(A) VC VEHICLE THEFT
202761023,10/2/2020,2355,INFORMATION ONLY
202761027,10/2/2020,2359,5150 WI 72 HR MENTAL HOLD
202763200,10/2/2020,0059,459 PC BURGLARY VEHICLE>$950
202763201,10/2/2020,0845,10852 VC VEHICLE TAMPERING
202763202,10/2/2020,0947,10852 VC VEHICLE TAMPERING
202763203,10/2/2020,0956,502.7 PC USE/OBTAIN PHONE SRVC
202763204,10/2/2020,1012,484PC PETTY THEFT FROM BLDG
202763205,10/2/2020,1039,459 PC BURGLARY VEHICLE<$950
202763206,10/2/2020,1707,530.5 PC IDENTITY THEFT
202763207,10/2/2020,1704,484PC PETTY THEFT FROM BLDG
202763208,10/2/2020,1648,484PC PETTY THEFT OTHER
202763209,10/2/2020,1620,484PC PETTY THEFT OTHER
202763210,10/2/2020,1600,530.5 PC IDENTITY THEFT
202763211,10/2/2020,1345,459 PC BURGLARY VEHICLE>$950
202763212,10/2/2020,1450,459 PC BURGLARY VEHICLE<$950
202763213,10/2/2020,1429,10852 VC VEHICLE TAMPERING
202763214,10/2/2020,1156,459 PC BURGLARY VEHICLE<$950
202763215,10/2/2020,1932,459 PC BURGLARY VEHICLE<$950
202763216,10/2/2020,1934,10852 VC VEHICLE TAMPERING
202763217,10/2/2020,1813,530.5 PC IDENTITY THEFT
202763218,10/2/2020,1417,530.5 PC IDENTITY THEFT
202763219,10/2/2020,1712,484PC PETTY THEFT BIKE
202763220,10/2/2020,1143,487 PC FRAUD BY SCAM/SWINDLE
202763221,10/2/2020,2034,10852 VC VEHICLE TAMPERING
202763222,10/2/2020,1853,459 PC BURGLARY VEHICLE<$950
202763223,10/2/2020,2351,459 PC BURGLARY VEHICLE>$950
202763224,10/2/2020,1536,10852 VC VEHICLE TAMPERING
202763225,10/2/2020,2123,10852 VC VEHICLE TAMPERING
202763226,10/2/2020,2320,653M PC ANNOY-CALL/TEXT/EMAIL
202763227,10/2/2020,1810,459 PC BURGLARY VEHICLE<$950
202763228,10/2/2020,1455,10852 VC VEHICLE TAMPERING
202763229,10/2/2020,0916,PROPERTY LOST
202763230,10/2/2020,1456,459 PC BURGLARY VEHICLE>$950
202763231,10/2/2020,1226,459 PC BURGLARY VEHICLE<$950
202764000,10/2/2020,1203,1182 VEH ACCIDENT-PROPERTY DMG
202764001,10/2/2020,1444,20002VC HIT AND RUN-PROP DMG
202764002,10/2/2020,1524,20002VC HIT AND RUN-PROP DMG
202764003,10/2/2020,1743,1182 VEH ACCIDENT-PROPERTY DMG
202764004,10/2/2020,2324,1182 VEH ACCIDENT-PROPERTY DMG
202769500,10/2/2020,0500,1065J MISSING JUVENILE
202769501,10/2/2020,1226,476 PC FICTICIOUS/NSF CHECK
202769502,10/2/2020,1305,240 PC ASSAULT
202769503,10/2/2020,1342,530.5 PC IDENTITY THEFT
202769504,10/2/2020,1356,NON-CRIMINAL
202769505,10/2/2020,1409,487 PC FRAUD BY SCAM/SWINDLE
202769506,10/2/2020,1436,594 PC VANDALISM-<$400
202769507,10/2/2020,1438,1065A MISSING ADULT
202769508,10/2/2020,1458,368(B)1 PC ELDER/DEPNDT ABUSE
202769509,10/2/2020,1514,484PC PETTY THEFT OTHER
202769510,10/2/2020,1520,487 PC FRAUD BY SCAM/SWINDLE
202769511,10/2/2020,1542,NON-CRIMINAL
202769512,10/2/2020,2241,1065J MISSING JUVENILE
202769513,10/2/2020,2250,1065J MISSING JUVENILE
202769701,10/2/2020,0816,459 PC BURGLARY VEHICLE>$950
202769702,10/2/2020,0830,1065J MISSING JUVENILE
202769703,10/2/2020,0945,10851(A) VC VEHICLE THEFT
202769704,10/2/2020,1133,273.6APC DV RESTRAIN ORD VIOL
202769705,10/2/2020,1600,476 PC FICTICIOUS/NSF CHECK
202769706,10/2/2020,1546,415 PC DISTURBING THE PEACE
202769707,10/2/2020,1555,20002VC HIT AND RUN-PROP DMG
202769850,10/2/2020,2220,288(A) PC L&L W/ UNDER 14YRS
202760952,10/3/2020,0951,INFORMATION ONLY
202760968,10/3/2020,0123,148(A)(1) PC RESIST ARREST
202761012,10/3/2020,0006,594 PC VANDALISM-$400 OR MORE
202770001,10/3/2020,0000,273.5(A) PC DV MINOR INJURY
202770006,10/3/2020,0515,243(B) PC BATTERY ON AN OFC
202770013,10/3/2020,0104,23152A VC DUI ALCOHOL/DRUGS
202770016,10/3/2020,0015,2800.1(A) VC EVADING
